Compound_time_dose,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,meanID,ref_meanID,Probe_ID,GeneSymbol,ProbeNr,Entrez_ID,CELL_ID,TREATMENT,COMPOUND,COMPOUND_ABBR,DOSE,DOSE_LEVEL,TIME,TIMEPOINT,GeneSymbol_new,Entrez_ID_new
CSP_48hr_50uM,0.30126479999999994,1.283754,1.767089,0.7264795000000001,0.46754490000000004,0.5502611999999999,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,A1BG,A1BG,,1.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,A1BG,1.0
CSP_48hr_50uM,0.6095335,-2.261305,1.4599,-1.548945,0.12139480000000001,0.1772249,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,A2M,A2M,,2.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,A2M,2.0
CSP_48hr_50uM,18.01611,-0.20424720000000002,0.30903309999999995,-0.6609234,0.5086614,0.5901163,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,A4GALT,A4GALT,,53947.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,A4GALT,53947.0
CSP_48hr_50uM,2.419679,1.156468,0.49432550000000003,2.339486,0.01931028,0.03553936,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAAS,AAAS,,8086.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAAS,8086.0
CSP_48hr_50uM,5.672142,-0.5257361,0.3772153,-1.393729,0.1633993,0.2283734,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AACS,AACS,,65985.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AACS,65985.0
CSP_48hr_50uM,13.372570000000001,0.1395745,0.316025,0.4416567,0.6587377,0.7288097,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAED1,AAED1,,,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,PRXL2C,195827.0
CSP_48hr_50uM,226.8576,0.34372070000000005,0.10449160000000002,3.289456,0.001003812,0.002493063,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAGAB,AAGAB,,79719.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAGAB,79719.0
CSP_48hr_50uM,2.494888,1.569064,0.633727,2.475931,0.01328892,0.02555036,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAK1,AAK1,,22848.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAK1,22848.0
CSP_48hr_50uM,2.508352,1.379281,0.4514485,3.055234,0.002248851,0.005181758,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAMDC,AAMDC,,28971.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAMDC,28971.0
CSP_48hr_50uM,17.902,2.270052,0.2353222,9.64657,5.08e-22,1.2e-20,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAMP,AAMP,,14.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAMP,14.0
CSP_48hr_50uM,1.060511,0.7949165,0.7191244999999999,1.1053950000000001,0.2689886,0.3488045,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AAR2,AAR2,,25980.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AAR2,25980.0
CSP_48hr_50uM,78.97492,-0.0787372,0.2596117,-0.30328829999999996,0.7616702,0.8167276,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AARS,AARS,,,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AARS1,16.0
CSP_48hr_50uM,9.908008,-0.6238686999999999,0.32151840000000004,-1.940382,0.05233326,0.08539674,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AARS2,AARS2,,57505.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AARS2,57505.0
CSP_48hr_50uM,5.707416,-1.002684,0.4308348,-2.327306,0.019949,0.03660786,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AARSD1,AARSD1,,80755.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AARSD1,80755.0
CSP_48hr_50uM,21.23049,-0.5527299,0.3062557,-1.8047990000000003,0.07110618,0.1114973,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AASDH,AASDH,,132949.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AASDH,132949.0
CSP_48hr_50uM,39.26184,1.102942,0.2847446,3.873444,0.000107308,0.000325022,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,AASDHPPT,AASDHPPT,,60496.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,AASDHPPT,60496.0
